Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Swag_Login,Edge Chromium 124,,,21-04-2024 12:58:49,21-04-2024 12:58:57,8.606s,PASSED
,,,,,,,
Test Cases/login,Edge Chromium 124,,,21-04-2024 12:58:49,21-04-2024 12:58:57,8.387s,PASSED
"openBrowser("""")",Edge Chromium 124,,,21-04-2024 12:58:49,21-04-2024 12:58:52,2.900s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,21-04-2024 12:58:52,21-04-2024 12:58:53,0.973s,PASSED
"click(findTestObject(""Object Repository/swag_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""))",Edge Chromium 124,,,21-04-2024 12:58:53,21-04-2024 12:58:54,0.522s,PASSED
"setText(findTestObject(""Object Repository/swag_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,21-04-2024 12:58:54,21-04-2024 12:58:54,0.693s,PASSED
"setEncryptedText(findTestObject(""Object Repository/swag_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,21-04-2024 12:58:54,21-04-2024 12:58:55,0.551s,PASSED
"click(findTestObject(""Object Repository/swag_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,21-04-2024 12:58:55,21-04-2024 12:58:57,1.771s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/swag_login/Page_Swag Labs/div_Open Menu_app_logo""), 0)",Edge Chromium 124,,,21-04-2024 12:58:57,21-04-2024 12:58:57,0.332s,PASSED
closeBrowser(),Edge Chromium 124,,,21-04-2024 12:58:57,21-04-2024 12:58:57,0.331s,PASSED
