Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Addtocart_Landing,Edge Chromium 124,,,23-04-2024 18:41:02,23-04-2024 18:41:41,38.744s,PASSED
,,,,,,,
Test Cases/Swag_Labs/Swag_Login,Edge Chromium 124,,,23-04-2024 18:41:03,23-04-2024 18:41:12,8.987s,PASSED
"openBrowser("""")",Edge Chromium 124,,,23-04-2024 18:41:03,23-04-2024 18:41:06,3.306s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,23-04-2024 18:41:06,23-04-2024 18:41:07,0.927s,PASSED
"setText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_userse"")",Edge Chromium 124,,,23-04-2024 18:41:07,23-04-2024 18:41:08,0.996s,PASSED
"click(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""))",Edge Chromium 124,,,23-04-2024 18:41:08,23-04-2024 18:41:09,0.560s,PASSED
"setEncryptedText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""9NLz+4tGZcQ="")",Edge Chromium 124,,,23-04-2024 18:41:09,23-04-2024 18:41:09,0.600s,PASSED
"setText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,23-04-2024 18:41:09,23-04-2024 18:41:10,0.755s,PASSED
"setEncryptedText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,23-04-2024 18:41:10,23-04-2024 18:41:10,0.502s,PASSED
"click(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,23-04-2024 18:41:10,23-04-2024 18:41:12,1.050s,PASSED
,,,,,,,
Test Cases/Swag_Labs/Landing_Page,Edge Chromium 124,,,23-04-2024 18:41:12,23-04-2024 18:41:22,10.818s,PASSED
"callTestCase(findTestCase(""Swag_Labs/Swag_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 18:41:12,23-04-2024 18:41:20,7.899s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_app_logo""), 0)",Edge Chromium 124,,,23-04-2024 18:41:20,23-04-2024 18:41:20,0.456s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Products""), 0)",Edge Chromium 124,,,23-04-2024 18:41:20,23-04-2024 18:41:21,0.356s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_header_label""))",Edge Chromium 124,,,23-04-2024 18:41:21,23-04-2024 18:41:21,0.459s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,23-04-2024 18:41:21,23-04-2024 18:41:21,0.373s,PASSED
