Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Landing,Edge Chromium 124,,,23-04-2024 18:49:17,23-04-2024 18:49:37,20.094s,PASSED
,,,,,,,
Test Cases/Swag_Labs/Swag_Login,Edge Chromium 124,,,23-04-2024 18:49:17,23-04-2024 18:49:26,9.237s,PASSED
"openBrowser("""")",Edge Chromium 124,,,23-04-2024 18:49:18,23-04-2024 18:49:21,3.041s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,23-04-2024 18:49:21,23-04-2024 18:49:21,0.769s,PASSED
"setText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_userse"")",Edge Chromium 124,,,23-04-2024 18:49:21,23-04-2024 18:49:22,1.014s,PASSED
"click(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""))",Edge Chromium 124,,,23-04-2024 18:49:22,23-04-2024 18:49:23,0.553s,PASSED
"setEncryptedText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""9NLz+4tGZcQ="")",Edge Chromium 124,,,23-04-2024 18:49:23,23-04-2024 18:49:24,0.592s,PASSED
"setText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,23-04-2024 18:49:24,23-04-2024 18:49:24,0.779s,PASSED
"setEncryptedText(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,23-04-2024 18:49:24,23-04-2024 18:49:25,0.556s,PASSED
"click(findTestObject(""Object Repository/swaglabs_login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,23-04-2024 18:49:25,23-04-2024 18:49:26,1.595s,PASSED
,,,,,,,
Test Cases/Swag_Labs/Landing_Page,Edge Chromium 124,,,23-04-2024 18:49:27,23-04-2024 18:49:37,10.650s,PASSED
"callTestCase(findTestCase(""Swag_Labs/Swag_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 18:49:27,23-04-2024 18:49:35,8.148s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_app_logo""), 0)",Edge Chromium 124,,,23-04-2024 18:49:35,23-04-2024 18:49:35,0.355s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Products""), 0)",Edge Chromium 124,,,23-04-2024 18:49:35,23-04-2024 18:49:36,0.323s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_header_label""))",Edge Chromium 124,,,23-04-2024 18:49:36,23-04-2024 18:49:36,0.339s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,23-04-2024 18:49:36,23-04-2024 18:49:36,0.361s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,23-04-2024 18:49:36,23-04-2024 18:49:37,0.436s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,23-04-2024 18:49:37,23-04-2024 18:49:37,0.068s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 18:49:37,23-04-2024 18:49:37,0.336s,PASSED
