Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Landing_Addtocart,Edge Chromium 124,,,23-04-2024 18:50:17,23-04-2024 18:50:50,32.897s,PASSED
,,,,,,,
Test Cases/Swag_Labs/Landing_Page,Edge Chromium 124,,,23-04-2024 18:50:17,23-04-2024 18:50:31,13.815s,PASSED
"callTestCase(findTestCase(""Swag_Labs/Swag_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 18:50:17,23-04-2024 18:50:27,9.669s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_app_logo""), 0)",Edge Chromium 124,,,23-04-2024 18:50:27,23-04-2024 18:50:28,0.679s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Products""), 0)",Edge Chromium 124,,,23-04-2024 18:50:28,23-04-2024 18:50:28,0.591s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/div_Open Menu_header_label""))",Edge Chromium 124,,,23-04-2024 18:50:28,23-04-2024 18:50:29,0.477s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,23-04-2024 18:50:29,23-04-2024 18:50:29,0.440s,PASSED
"click(findTestObject(""Object Repository/Swag_LandingPage/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,23-04-2024 18:50:29,23-04-2024 18:50:30,0.555s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,23-04-2024 18:50:30,23-04-2024 18:50:30,0.133s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 18:50:30,23-04-2024 18:50:31,0.893s,PASSED
,,,,,,,
Test Cases/Swag_Labs/AddToCart,Edge Chromium 124,,,23-04-2024 18:50:31,23-04-2024 18:50:50,18.892s,PASSED
"callTestCase(findTestCase(""Swag_Labs/Swag_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 18:50:31,23-04-2024 18:50:40,8.592s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/button_ADD TO CART""), 0)",Edge Chromium 124,,,23-04-2024 18:50:40,23-04-2024 18:50:40,0.375s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,23-04-2024 18:50:40,23-04-2024 18:50:40,0.406s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/svg_Open Menu_svg-inline--fa fa-shopping-ca_f4ec0f""))",Edge Chromium 124,,,23-04-2024 18:50:40,23-04-2024 18:50:41,0.646s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/cart.html"")",Edge Chromium 124,,,23-04-2024 18:50:41,23-04-2024 18:50:41,0.067s,PASSED
"rightClick(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/path""))",Edge Chromium 124,,,23-04-2024 18:50:41,23-04-2024 18:50:44,3.048s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/div_Sauce Labs Backpack""))",Edge Chromium 124,,,23-04-2024 18:50:44,23-04-2024 18:50:45,0.509s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/path""))",Edge Chromium 124,,,23-04-2024 18:50:45,23-04-2024 18:50:47,2.813s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/span_1""), 0)",Edge Chromium 124,,,23-04-2024 18:50:47,23-04-2024 18:50:48,0.470s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/a_Continue Shopping""))",Edge Chromium 124,,,23-04-2024 18:50:48,23-04-2024 18:50:48,0.494s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,23-04-2024 18:50:48,23-04-2024 18:50:49,0.432s,PASSED
"click(findTestObject(""Object Repository/Swag_AddToCart/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,23-04-2024 18:50:49,23-04-2024 18:50:49,0.489s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 18:50:49,23-04-2024 18:50:50,0.349s,PASSED
