Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_checkout_AddMoreItems,Edge Chromium 124,,,23-04-2024 19:06:43,23-04-2024 19:07:16,33.811s,PASSED
,,,,,,,
Test Cases/Swag_Labs/AddMoreItems,Edge Chromium 124,,,23-04-2024 19:06:43,23-04-2024 19:06:58,15.169s,PASSED
"callTestCase(findTestCase(""Swag_Labs/Swag_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 19:06:43,23-04-2024 19:06:53,9.784s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,23-04-2024 19:06:53,23-04-2024 19:06:53,0.426s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,23-04-2024 19:06:53,23-04-2024 19:06:54,0.551s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,23-04-2024 19:06:54,23-04-2024 19:06:54,0.532s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/span_3""), 0)",Edge Chromium 124,,,23-04-2024 19:06:54,23-04-2024 19:06:55,0.507s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/path""))",Edge Chromium 124,,,23-04-2024 19:06:55,23-04-2024 19:06:56,0.995s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/cart.html"")",Edge Chromium 124,,,23-04-2024 19:06:56,23-04-2024 19:06:56,0.069s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/div_Your Cart""), 0)",Edge Chromium 124,,,23-04-2024 19:06:56,23-04-2024 19:06:56,0.354s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/div_Open Menu_header_label""))",Edge Chromium 124,,,23-04-2024 19:06:56,23-04-2024 19:06:57,0.386s,PASSED
"click(findTestObject(""Object Repository/Swag_AddMoreItems/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,23-04-2024 19:06:57,23-04-2024 19:06:57,0.398s,PASSED
