Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Edge Chromium 124,,,23-04-2024 21:41:35,23-04-2024 21:41:46,10.644s,PASSED
,,,,,,,
Test Cases/Jpet/Pet_Login,Edge Chromium 124,,,23-04-2024 21:41:36,23-04-2024 21:41:46,10.472s,PASSED
"openBrowser("""")",Edge Chromium 124,,,23-04-2024 21:41:36,23-04-2024 21:41:40,4.081s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,23-04-2024 21:41:40,23-04-2024 21:41:41,0.800s,PASSED
"click(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,23-04-2024 21:41:41,23-04-2024 21:41:42,1.552s,PASSED
"click(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,23-04-2024 21:41:42,23-04-2024 21:41:43,0.551s,PASSED
"setText(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/input_Need a user name and password_username""), ""raj"")",Edge Chromium 124,,,23-04-2024 21:41:43,23-04-2024 21:41:43,0.688s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/input_Need a user name and password_password""), ""ZBez4TpO49Q="")",Edge Chromium 124,,,23-04-2024 21:41:43,23-04-2024 21:41:44,0.438s,PASSED
"click(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,23-04-2024 21:41:44,23-04-2024 21:41:45,0.753s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/div_Welcome raj""), 0)",Edge Chromium 124,,,23-04-2024 21:41:45,23-04-2024 21:41:45,0.337s,PASSED
"click(findTestObject(""Object Repository/Pet_Login/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,23-04-2024 21:41:45,23-04-2024 21:41:46,0.763s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 21:41:46,23-04-2024 21:41:46,0.242s,PASSED
