Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Pet_Signout,Edge Chromium 124,,,23-04-2024 22:01:08,23-04-2024 22:01:23,15.084s,PASSED
,,,,,,,
Test Cases/Jpet/signout,Edge Chromium 124,,,23-04-2024 22:01:08,23-04-2024 22:01:23,14.839s,PASSED
"callTestCase(findTestCase(""Jpet/Login""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,23-04-2024 22:01:08,23-04-2024 22:01:20,11.439s,PASSED
"rightClick(findTestObject(""Object Repository/Pet_Signout/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,23-04-2024 22:01:20,23-04-2024 22:01:20,0.493s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Signout/Page_JPetStore Demo/a_Sign Out""), 0)",Edge Chromium 124,,,23-04-2024 22:01:20,23-04-2024 22:01:21,0.347s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Pet_Signout/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,23-04-2024 22:01:21,23-04-2024 22:01:21,0.354s,PASSED
"click(findTestObject(""Object Repository/Pet_Signout/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,23-04-2024 22:01:21,23-04-2024 22:01:22,1.200s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Edge Chromium 124,,,23-04-2024 22:01:22,23-04-2024 22:01:22,0.298s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 22:01:22,23-04-2024 22:01:23,0.281s,PASSED
