Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Checkout_Login,Edge Chromium 124,,,24-04-2024 18:59:23,24-04-2024 18:59:54,30.920s,PASSED
,,,,,,,
Test Cases/Jpet/JpetLogin,Edge Chromium 124,,,24-04-2024 18:59:24,24-04-2024 18:59:35,11.637s,PASSED
"openBrowser("""")",Edge Chromium 124,,,24-04-2024 18:59:24,24-04-2024 18:59:29,4.762s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,24-04-2024 18:59:29,24-04-2024 18:59:30,0.967s,PASSED
"click(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,24-04-2024 18:59:30,24-04-2024 18:59:31,1.368s,PASSED
"click(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,24-04-2024 18:59:31,24-04-2024 18:59:32,0.751s,PASSED
"setText(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/input_Need a user name and password_username""), ""raj1"")",Edge Chromium 124,,,24-04-2024 18:59:32,24-04-2024 18:59:33,0.803s,PASSED
"setEncryptedText(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""qPDWtMYEx+8="")",Edge Chromium 124,,,24-04-2024 18:59:33,24-04-2024 18:59:33,0.477s,PASSED
"click(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/p_UsernamesetTimeout(function()tryvar zdocu_67db2e""))",Edge Chromium 124,,,24-04-2024 18:59:33,24-04-2024 18:59:34,0.452s,PASSED
"setEncryptedText(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""F1QkgKVvKLQ="")",Edge Chromium 124,,,24-04-2024 18:59:34,24-04-2024 18:59:34,0.432s,PASSED
"click(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,24-04-2024 18:59:34,24-04-2024 18:59:35,0.965s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/JpetLogin/Page_JPetStore Demo/div_Welcome raj1""), 0)",Edge Chromium 124,,,24-04-2024 18:59:35,24-04-2024 18:59:35,0.340s,PASSED
,,,,,,,
Test Cases/Jpet/Checkout_Pet,Edge Chromium 124,,,24-04-2024 18:59:35,24-04-2024 18:59:54,19.089s,PASSED
"callTestCase(findTestCase(""Jpet/JpetLogin""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,24-04-2024 18:59:35,24-04-2024 18:59:47,11.668s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/img""))",Edge Chromium 124,,,24-04-2024 18:59:47,24-04-2024 18:59:48,0.805s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH"")",Edge Chromium 124,,,24-04-2024 18:59:48,24-04-2024 18:59:48,0.282s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_FI-SW-02""))",Edge Chromium 124,,,24-04-2024 18:59:48,24-04-2024 18:59:49,0.784s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,24-04-2024 18:59:49,24-04-2024 18:59:50,0.755s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Sub Total 18.50_updateCartQuantities""))",Edge Chromium 124,,,24-04-2024 18:59:50,24-04-2024 18:59:50,0.706s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,24-04-2024 18:59:50,24-04-2024 18:59:51,0.765s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/th_Payment Details""), 0)",Edge Chromium 124,,,24-04-2024 18:59:51,24-04-2024 18:59:52,0.356s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Edge Chromium 124,,,24-04-2024 18:59:52,24-04-2024 18:59:52,0.728s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Confirm""))",Edge Chromium 124,,,24-04-2024 18:59:52,24-04-2024 18:59:53,0.732s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/li_Thank you, your order has been submitted""), 0)",Edge Chromium 124,,,24-04-2024 18:59:53,24-04-2024 18:59:53,0.349s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,24-04-2024 18:59:53,24-04-2024 18:59:54,0.702s,PASSED
closeBrowser(),Edge Chromium 124,,,24-04-2024 18:59:54,24-04-2024 18:59:54,0.340s,PASSED
