Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Chekoutpet,Edge Chromium 124,,,28-04-2024 11:12:32,28-04-2024 11:12:50,17.331s,PASSED
,,,,,,,
Test Cases/Jpet/Checkout_Pet,Edge Chromium 124,,,28-04-2024 11:12:32,28-04-2024 11:12:50,17.133s,PASSED
"callTestCase(findTestCase(""Jpet/JpetLogin""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,28-04-2024 11:12:33,28-04-2024 11:12:43,10.197s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/img""))",Edge Chromium 124,,,28-04-2024 11:12:43,28-04-2024 11:12:44,0.758s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH"")",Edge Chromium 124,,,28-04-2024 11:12:44,28-04-2024 11:12:44,0.264s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_FI-SW-02""))",Edge Chromium 124,,,28-04-2024 11:12:44,28-04-2024 11:12:45,0.704s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,28-04-2024 11:12:45,28-04-2024 11:12:45,0.640s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Sub Total 18.50_updateCartQuantities""))",Edge Chromium 124,,,28-04-2024 11:12:45,28-04-2024 11:12:46,0.594s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,28-04-2024 11:12:46,28-04-2024 11:12:47,0.630s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/th_Payment Details""), 0)",Edge Chromium 124,,,28-04-2024 11:12:47,28-04-2024 11:12:47,0.321s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Edge Chromium 124,,,28-04-2024 11:12:47,28-04-2024 11:12:48,0.775s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Confirm""))",Edge Chromium 124,,,28-04-2024 11:12:48,28-04-2024 11:12:48,0.620s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/li_Thank you, your order has been submitted""), 0)",Edge Chromium 124,,,28-04-2024 11:12:48,28-04-2024 11:12:49,0.322s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,28-04-2024 11:12:49,28-04-2024 11:12:49,0.595s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 11:12:49,28-04-2024 11:12:50,0.327s,PASSED
