Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VisualCp,Edge Chromium 124,,,28-04-2024 12:37:58,28-04-2024 12:38:07,8.582s,PASSED
,,,,,,,
Test Cases/Visual_Testing/VisualTesting1,Edge Chromium 124,,,28-04-2024 12:37:58,28-04-2024 12:38:07,8.383s,PASSED
"openBrowser("""")",Edge Chromium 124,,,28-04-2024 12:37:59,28-04-2024 12:38:02,2.994s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,28-04-2024 12:38:02,28-04-2024 12:38:03,1.195s,PASSED
"click(findTestObject(""Object Repository/VisualTestingCP/Page_JPetStore Demo/p_Enter the Store""))",Edge Chromium 124,,,28-04-2024 12:38:03,28-04-2024 12:38:03,0.467s,PASSED
"click(findTestObject(""Object Repository/VisualTestingCP/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,28-04-2024 12:38:03,28-04-2024 12:38:05,1.462s,PASSED
"takeScreenshotAsCheckpoint(""mypic"")",Edge Chromium 124,,,28-04-2024 12:38:05,28-04-2024 12:38:06,1.023s,PASSED
"click(findTestObject(""Object Repository/VisualTestingCP/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,28-04-2024 12:38:06,28-04-2024 12:38:07,0.632s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 12:38:07,28-04-2024 12:38:07,0.293s,PASSED
